"month","median(gas_used)","avg(gas_price)"
"2015-07-01",0,0
"2015-08-01",0,53917711643.5917
"2015-09-01",21000,29957655106.4725
"2015-10-01",21000,29775243031.480995
"2015-11-01",21000,31269043512.174564
"2015-12-01",21000,37498484798.007385
"2016-01-01",21000,39950123128.71315
"2016-02-01",21000,53235831093.45736
"2016-03-01",21000,27305584886.799667
"2016-04-01",21000,19647692558.036705
"2016-05-01",21000,20655476670.955276
"2016-06-01",21000,20101294506.284557
"2016-07-01",21000,19702927224.328968
"2016-08-01",21000,19582878114.07036
"2016-09-01",21000,22105339392.670753
"2016-10-01",21000,27716361355.826942
"2016-11-01",21000,21402878756.91027
"2016-12-01",21000,43694639909.0536
"2017-01-01",21000,19721711704.686012
"2017-02-01",21000,20449763664.85958
"2017-03-01",21000,21489514204.713013
"2017-04-01",21000,20838427688.097534
"2017-05-01",21000,22595555193.715828
"2017-06-01",21000,29514996204.613228
"2017-07-01",21000,24957361469.21735
"2017-08-01",21000,25580578891.652584
"2017-09-01",21000,30364304657.297085
"2017-10-01",22187,17284432081.290184
"2017-11-01",21080,15106597583.540329
"2017-12-01",21000,33165612212.682568
"2018-01-01",21000,51760080103.04093
"2018-02-01",21000,23428235316.916187
"2018-03-01",21004,15384067598.169672
"2018-04-01",22155,13021865415.626312
"2018-05-01",22098.5,17269610991.875
"2018-06-01",22351,16376533932.036005
"2018-07-01",22498,27206329346.62211
"2018-08-01",22993.5,18282081015.031517
"2018-09-01",22392.5,15018214841.481012
"2018-10-01",22867,14346266173.60914
"2018-11-01",22938,15840290791.866364
"2018-12-01",22954,16148215378.39042
"2019-01-01",25289,14455282999.054235
"2019-02-01",30981,28659681593.486797
"2019-03-01",36255,12727281956.95563